Null,2019-01-21 07:57:41.642524,2
Null,2019-01-21 07:58:48.501200,2
algo,2019-01-21 08:15:36.265390,0
Null,2019-01-21 09:45:26.239920,2
dayana,2019-01-21 09:54:46.543438,4
admin,2019-01-21 10:43:23.384309,0
dayana,2019-01-21 10:43:31.775020,4
dayana,2019-01-21 10:43:31.775020,4
dayana,2019-01-21 10:43:31.775020,4
dayana,2019-01-21 10:46:47.425592,4
dayana,2019-01-21 10:50:55.849970,4
dayana,2019-01-21 10:50:55.849970,4
dayana,2019-01-21 11:19:24.724544,3
paul,2019-01-22 16:09:02.759159,0
dayana,2019-01-22 16:17:03.041094,2
dayana,2019-01-22 16:20:52.030822,1
dayana,2019-01-22 16:22:05.574243,1
dayana,2019-01-22 16:29:23.055286,1
Null,2019-01-22 16:30:59.247494,2
dayana,2019-01-22 16:31:48.408156,3
daya,2019-01-22 16:32:16.609310,0
dayana,2019-01-22 16:35:16.589639,1
dayana,2019-01-22 16:35:16.589639,1
dayana,2019-01-22 16:35:16.589639,1
Null,2019-01-22 16:46:41.339290,2
dayakckals,2019-01-22 16:46:53.063448,0
Null,2019-01-22 16:47:00.259438,2
scdcf,2019-01-22 16:47:09.785714,2
dayana,2019-01-22 16:47:17.439347,1
dayana,2019-01-22 16:47:17.439347,1
admn,2019-01-22 16:56:53.517079,0
admn,2019-01-22 16:56:56.715781,0
admin,2019-01-22 16:57:12.615116,0
